iter	Passed	Remaining
136	4983	31392
137	5018	31348
138	5052	31299
139	5089	31263
140	5124	31221
141	5157	31163
142	5193	31123
143	5226	31070
144	5260	31021
145	5294	30970
146	5329	30925
147	5362	30872
148	5396	30822
149	5431	30776
150	5464	30722
151	5499	30679
152	5534	30637
153	5566	30581
154	5598	30521
155	5633	30478
156	5665	30422
157	5699	30372
158	5732	30321
159	5766	30273
160	5803	30244
161	5840	30213
162	5874	30167
163	5911	30132
164	5946	30095
165	5977	30032
166	6012	29991
167	6047	29950
168	6081	29902
169	6114	29853
170	6153	29832
171	6190	29800
172	6226	29766
173	6265	29743
174	6300	29702
175	6335	29660
176	6369	29614
177	6402	29568
178	6435	29517
179	6473	29491
180	6509	29454
181	6544	29412
182	6575	29357
183	6610	29315
184	6641	29259
185	6673	29206
186	6705	29154
187	6737	29101
188	6768	29044
189	6801	28996
190	6836	28955
191	6869	28907
192	6901	28857
193	6937	28822
194	6970	28773
195	7007	28744
196	7045	28718
197	7077	28669
198	7109	28617
199	7144	28579
200	7179	28537
201	7211	28490
202	7246	28450
203	7279	28404
204	7312	28358
205	7345	28313
206	7376	28259
207	7412	28223
208	7448	28190
209	7479	28137
210	7513	28094
211	7547	28054
212	7580	28008
213	7616	27975
214	7656	27954
215	7688	27907
216	7723	27869
217	7758	27829
218	7797	27807
219	7832	27769
220	7869	27740
221	7902	27695
222	7933	27643
223	7966	27596
224	8002	27565
225	8035	27519
226	8068	27474
227	8102	27433
228	8134	27388
229	8168	27346
230	8205	27314
231	8241	27280
232	8275	27242
233	8312	27210
234	8349	27180
235	8383	27139
236	8413	27086
237	8452	27061
238	8485	27019
239	8520	26980
240	8552	26933
241	8584	26888
242	8616	26840
243	8648	26794
244	8682	26757
245	8712	26704
246	8742	26652
247	8773	26603
248	8802	26549
249	8833	26499
250	8869	26466
251	8900	26419
252	8932	26375
253	8968	26341
254	9000	26296
255	9035	26260
256	9068	26218
257	9103	26181
258	9135	26135
259	9173	26108
260	9209	26076
261	9242	26033
262	9275	25991
263	9308	25950
264	9341	25910
265	9377	25876
266	9412	25841
267	9447	25804
268	9480	25761
269	9513	25721
270	9548	25687
271	9584	25653
272	9617	25611
273	9652	25576
274	9688	25542
275	9720	25498
276	9750	25450
277	9788	25421
278	9821	25379
279	9853	25338
280	9888	25302
281	9925	25271
282	9962	25241
283	9996	25201
284	10027	25156
285	10060	25116
286	10091	25070
287	10125	25032
288	10158	24991
289	10195	24962
290	10229	24923
291	10261	24880
292	10298	24850
293	10337	24824
294	10376	24797
295	10410	24760
296	10444	24721
297	10479	24687
298	10513	24649
299	10545	24605
300	10576	24561
301	10608	24519
302	10638	24471
303	10672	24433
304	10703	24389
305	10736	24350
306	10766	24302
307	10797	24258
308	10825	24207
309	10856	24165
310	10893	24133
311	10927	24096
312	10963	24062
313	10998	24028
314	11034	23996
315	11069	23961
316	11103	23923
317	11136	23883
318	11172	23850
319	11204	23808
320	11241	23779
321	11276	23743
322	11311	23709
323	11346	23672
324	11382	23640
325	11416	23603
326	11451	23567
327	11486	23534
328	11520	23497
329	11559	23469
330	11594	23433
331	11629	23398
332	11663	23361
333	11695	23320
334	11730	23284
335	11763	23247
336	11799	23213
337	11832	23174
338	11868	23142
339	11904	23109
340	11940	23074
341	11971	23032
342	12007	22999
343	12045	22969
344	12080	22935
345	12115	22899
346	12146	22857
347	12178	22817
348	12211	22778
349	12249	22749
350	12282	22709
351	12315	22671
352	12353	22642
353	12392	22614
354	12428	22581
355	12462	22543
356	12497	22509
357	12529	22469
358	12558	22423
359	12589	22381
360	12620	22340
361	12649	22293
362	12678	22248
363	12708	22204
364	12737	22159
365	12777	22132
366	12808	22091
367	12838	22048
368	12874	22014
369	12907	21978
370	12944	21947
371	12976	21906
372	13007	21865
373	13041	21828
374	13075	21792
375	13108	21754
376	13146	21724
377	13179	21687
378	13212	21649
379	13247	21615
380	13284	21582
381	13315	21541
382	13351	21508
383	13386	21474
384	13421	21439
385	13453	21400
386	13489	21366
387	13525	21334
388	13561	21301
389	13596	21266
390	13625	21222
391	13656	21181
392	13691	21146
393	13723	21107
394	13755	21068
395	13792	21036
396	13828	21003
397	13859	20963
398	13891	20924
399	13926	20889
400	13964	20860
